game,epsilon,avg_rounds,round_limit_pct,elapsed_s,AI_1_winrate,AI_1_states,AI_2_winrate,AI_2_states,AI_3_winrate,AI_3_states
5000,0.27,58.78,0.2,30.5,0.287,1922,0.268,1910,0.274,1916
10000,0.24,58.52,0.3,61.1,0.285,1922,0.26,1910,0.295,1916
15000,0.21,59.72,0.3,92.5,0.309,1922,0.212,1910,0.308,1918
20000,0.18,59.23,0.3,124.1,0.26,1922,0.255,1910,0.319,1918
25000,0.15,60.03,0.2,156.2,0.225,1922,0.359,1911,0.254,1919
30000,0.12,60.26,0.2,188.6,0.212,1923,0.308,1911,0.312,1920
35000,0.12,60.49,0.3,221.3,0.241,1923,0.333,1914,0.256,1921
40000,0.12,61.47,0.2,254.2,0.335,1924,0.296,1917,0.204,1923
45000,0.12,60.67,0.3,287.4,0.363,1925,0.233,1917,0.223,1924
50000,0.12,60.24,0.2,320.5,0.268,1925,0.333,1917,0.22,1924
55000,0.12,59.67,0.3,353.2,0.239,1925,0.357,1917,0.246,1925
60000,0.12,60.95,0.3,387.5,0.258,1926,0.285,1918,0.272,1925
